opt_vel,objective_value,jump_d,jump_c,jump_b,jump_a,height
3.481071837,35.68000393,0.930241001,2.771628183,3.956050045,-0.106497291,0.4
3.527905065,36.93846941,0.954653279,2.333881088,4.031963847,0.116710724,0.4
3.463826426,38.39963167,0.530627716,2.904419682,4.730390792,0.74134095,0.4
3.480351903,38.53736832,1.091579607,2.679003192,4.590318855,0.936002582,0.4
3.381974118,39.75327442,1.05800957,2.046856067,4.618244823,-0.537994605,0.4
3.517968273,41.24401017,1.384685924,2.241182615,4.999432697,2.03134819,0.4
3.455858454,41.51332897,0.280818542,2.659346173,3.654456412,-0.438868699,0.4
3.499809551,43.13496315,0.994305872,2.772887218,4.272972509,0.605434949,0.4
3.517003253,43.35688743,0.442491248,3.139758636,4.809239328,0.980951791,0.4
3.427934145,43.63115343,0.263634097,2.619329975,3.486484054,-0.381923415,0.4
3.618879031,43.72576136,0.739277822,3.45473592,4.85536653,0.969553582,0.4
3.534757304,43.88941689,1.062878465,2.392602709,4.132814664,0.428472062,0.4
3.439163767,44.49581098,0.898564468,2.793420957,4.928691751,0.927914116,0.4
3.57560349,44.5327268,0.613611395,2.883488469,3.480802564,-0.108378147,0.4
3.44002826,45.79450799,0.035809798,2.42513353,4.777929379,0.231027681,0.4
3.498059224,45.83816263,1.013689437,2.054433761,4.335039751,-0.055003114,0.4
3.588464716,45.92672332,0.553509905,2.834815031,3.754933359,-0.024132646,0.4
3.538279689,46.18090194,1.17335391,2.564383934,4.196739247,0.604477931,0.4
3.460887299,46.48111725,1.125141155,2.588896095,4.47626931,0.921673545,0.4
3.587295037,46.81035694,1.077660992,2.554744701,4.522486789,0.720394717,0.4
3.604941537,48.00005731,1.081212432,2.755580262,4.463782835,0.776757152,0.4
3.53052009,48.79905437,1.227225041,2.039025609,4.539123978,0.236497462,0.4
3.553870695,50.16944239,1.366676276,2.514409722,4.11322742,0.162036731,0.4
3.581087044,50.50534673,0.617088443,2.804536426,4.683808288,0.605594214,0.4
3.393720453,50.88874337,1.30383816,2.347401951,4.572253413,0.41853072,0.4
3.479797177,51.5315255,1.640927599,2.791033898,4.549936476,-0.453669193,0.4
3.450048547,51.94690376,0.504029281,2.945049971,3.447902006,-0.627156325,0.4
3.543405042,52.36951594,2.11387806,2.260092563,4.995067219,1.060573637,0.4
3.620933974,52.45256397,0.894027908,2.714627736,4.801776281,0.756023353,0.4
3.385531322,53.03997275,1.231548232,1.984719596,4.672003545,-0.06599886,0.4
3.619629443,53.92662708,0.867037268,3.226026495,3.742086083,0.157611352,0.4
3.63078199,54.11519027,1.263844875,2.787364253,4.175092687,0.249172828,0.4
3.503877615,55.33285492,0.698567464,3.238920975,4.811242178,0.645071476,0.4
3.637964908,55.46613924,2.203098296,2.746292676,4.933068577,2.386637036,0.4
3.419577207,55.92661345,0.29633525,2.69375878,3.543333823,-0.880012198,0.4
3.308682839,59.94697371,1.023015371,1.723263168,4.296185498,-0.26306148,0.4
3.389092606,60.79668854,1.152314067,2.366030431,4.313503193,0.594059496,0.4
3.461844767,62.1549878,1.793812837,2.756375509,4.983896792,2.497595761,0.4
3.596758968,62.18434088,2.064809846,2.400265945,4.948947517,2.165106225,0.4
3.433323846,62.20988574,0.065407702,2.626685803,3.453426301,-0.293174168,0.4
3.388384449,62.91425293,0.645531997,2.184001845,4.890798397,0.023546062,0.4
3.363861569,65.63320682,1.382974395,2.234726852,4.23904507,-0.210761677,0.4
3.348183111,65.88662161,1.063369284,2.176274559,4.460994888,0.367878065,0.4
3.618035316,66.10536002,0.44633142,2.705073626,3.896988986,-0.284965286,0.4
