opt_vel,objective_value,jump_d,jump_c,jump_b,jump_a,height
2.59926305,49.23090822,2.763292243,3.173958363,-4.306122418,0.184540815,0.2
2.348054843,50.20658604,2.697321495,3.393115233,-3.872008243,0.547668625,0.2
2.329241403,50.24336933,3.452877517,3.201116452,-4.995558539,-0.06486977,0.2
2.360002258,51.94457572,3.099290907,3.656659836,-4.041870708,0.258510079,0.2
2.58699935,54.83897054,2.697002199,3.047876671,-4.744803159,-0.621845117,0.2
2.59993981,55.01228765,3.460298021,3.266419373,-4.582347786,-0.266503209,0.2
2.266117316,55.24204975,3.114546786,2.741688102,-4.882331629,-0.126286506,0.2
2.622969452,60.72683949,3.01321723,2.924138714,-4.304336253,0.693136406,0.2
2.301184583,61.88667055,2.490888355,3.142712197,-3.690026395,-0.050399123,0.2
2.635820365,64.3736695,3.34283006,3.222591937,-4.852670589,0.341417385,0.2
2.226606959,71.80929116,2.758716736,2.917224283,-4.486622101,0.373037388,0.2
2.208385838,75.30612947,3.341021065,3.225033993,-4.566793541,-0.178755317,0.2
2.205162587,81.29887473,2.439403411,3.317403586,-3.235505437,0.61958439,0.2
2.216978441,82.14521834,3.08258141,3.039181205,-3.958336744,0.719004923,0.2
2.162329697,84.89383825,3.065074185,3.048741746,-4.63067238,-0.064595047,0.2
2.261521357,85.32060121,2.569349082,3.660198836,-4.331396066,-0.013698989,0.2
2.331183113,97.034618,3.034430486,3.860444216,-2.969154957,0.671101648,0.2
2.171708768,97.93538081,3.432915468,3.339800099,-4.671003554,-0.483965704,0.2
2.118722532,100.2405816,2.277916475,2.849758501,-3.624698427,0.261690109,0.2
2.715757177,108.8968488,2.97459645,2.836758055,-4.845779348,0.23145186,0.2
2.72292219,114.3552317,3.49774768,2.69337692,-4.842894743,0.014277634,0.2
2.801754497,116.3789945,2.872621407,3.333648319,-4.894799053,-0.238371499,0.2
2.054867447,121.0203825,3.219425286,3.076826471,-4.929700506,-0.351674519,0.2
2.753153912,125.9869502,2.862700657,2.77076922,-4.509569057,-0.532692301,0.2
2.836353094,129.042994,3.134535086,3.423924468,-4.96070036,0.170647401,0.2
2.382724333,131.1354125,3.476632337,3.989323428,-4.903925314,-0.146501028,0.2
2.091944722,136.9941464,3.447956175,3.783299121,-3.987279566,0.290642505,0.2
2.845310166,142.8811362,3.021633427,3.553520458,-2.865035505,0.954608594,0.2
