{'opt_vel': 3.1294428757686212, 'jump_a': 4.313768532340722, 'objective_value': 240.60479011413076, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.137186460457771, 'jump_a': 2.922912496148469, 'objective_value': 373.13390335580675, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0013899753639035, 'jump_a': 5.93453815801987, 'objective_value': 556.1281924727293, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.481691105113831, 'jump_a': 8.202118220031965, 'objective_value': 427.0481533232961, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0070272004179412, 'jump_a': 12.479291294994177, 'objective_value': 556.8453351757742, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0215889016846855, 'jump_a': 2.010919398394444, 'objective_value': 536.5656389635825, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.323724526590199, 'jump_a': 8.574539893852144, 'objective_value': 446.1771466432207, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.813427601351908, 'jump_a': 17.79470682133078, 'objective_value': 641.0020451384664, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.466384893608263, 'jump_a': 10.266193893706218, 'objective_value': 441.4047812506041, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.1064677715010713, 'jump_a': 9.028820415317135, 'objective_value': 237.12702704947182, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.273685524644032, 'jump_a': 4.328710626527934, 'objective_value': 1006.1838842546912, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.4039448005989685, 'jump_a': 14.144731725418817, 'objective_value': 411.7137538622821, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.0428836478565655, 'jump_a': 15.97425291215564, 'objective_value': 805.4171159282048, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6125911193552858, 'jump_a': 13.57207757979089, 'objective_value': 29.49689465004534, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6006203830009254, 'jump_a': 13.552961152279982, 'objective_value': 30.136416938938154, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.995494870685925, 'jump_a': 2.3570414885785493, 'objective_value': 1042.4147697217038, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.844793804963839, 'jump_a': 2.0093156303599633, 'objective_value': 287.2926109112119, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.017569482808584, 'jump_a': 13.318810075072076, 'objective_value': 213.9397045469118, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.759063580046277, 'jump_a': 7.653328059943506, 'objective_value': 819.1815629424614, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.558189614226423, 'jump_a': 6.084028017678672, 'objective_value': 1378.761433049093, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.5858496325592144, 'jump_a': 13.515416561365669, 'objective_value': 31.382520193329665, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.63017259969189, 'jump_a': 13.604179254638602, 'objective_value': 28.367844319920795, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.623528740752478, 'jump_a': 13.589776223575559, 'objective_value': 28.873748157890265, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.9804538452322755, 'jump_a': 18.49184909994029, 'objective_value': 272.74282457386784, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.640558720085192, 'jump_a': 13.643622734639479, 'objective_value': 27.024173498887283, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.011509669301173, 'jump_a': 3.2467885197129673, 'objective_value': 886.5427868536015, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.64502562854962, 'jump_a': 13.667839435866805, 'objective_value': 26.180172742452648, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.679991327749089, 'jump_a': 13.762652589316433, 'objective_value': 57.246348513711084, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.198454230679416, 'jump_a': 15.995279078317585, 'objective_value': 514.441704967356, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6452410817640697, 'jump_a': 13.65220919381661, 'objective_value': 26.724617696914244, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6393926485066355, 'jump_a': 13.682726995730164, 'objective_value': 25.66278418089149, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.085966058711209, 'jump_a': 12.171091212980018, 'objective_value': 236.3655024617362, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6400475478880594, 'jump_a': 13.675246232622934, 'objective_value': 25.922629663504758, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.633515478643324, 'jump_a': 13.685526497424878, 'objective_value': 25.565612607730937, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.653275877226948, 'jump_a': 13.684106612719292, 'objective_value': 25.61489251478083, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.148684583028944, 'jump_a': 10.507382050075826, 'objective_value': 297.3065066929235, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.923085573356347, 'jump_a': 15.97474338497026, 'objective_value': 161.7280727134059, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.4456384745037374, 'jump_a': 3.5090507289099966, 'objective_value': 193.3075708274618, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.500435591892733, 'jump_a': 11.572810575163029, 'objective_value': 1066.5331078389888, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6310565534382433, 'jump_a': 13.690334297183368, 'objective_value': 25.398820692426572, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.000905627779328, 'jump_a': 14.146572629028913, 'objective_value': 570.0218357667319, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.624533957515521, 'jump_a': 13.686091376639254, 'objective_value': 25.546010065307946, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
