{'opt_vel': '3.094532007', 'objective_value': '198.5458652', 'jump_d': '0.193487144', 'jump_c': '2.905051609', 'jump_b': '0.249182903', 'jump_a': '2.026147282'}
{'opt_vel': '3.153410405', 'objective_value': '201.2302071', 'jump_d': '0.164312255', 'jump_c': '3.597503056', 'jump_b': '1.451129053', 'jump_a': '0.313856695'}
{'opt_vel': '2.988839051', 'objective_value': '203.6678564', 'jump_d': '1.131964519', 'jump_c': '1.999096194', 'jump_b': '4.789955196', 'jump_a': '-1.200089212'}
{'opt_vel': '3.094027414', 'objective_value': '204.3300845', 'jump_d': '0.097555067', 'jump_c': '3.30893549', 'jump_b': '4.818099351', 'jump_a': '1.662478423'}
{'opt_vel': '3.806669805', 'objective_value': '218.7457838', 'jump_d': '0.918050952', 'jump_c': '1.553160174', 'jump_b': '4.868031914', 'jump_a': '0.088679979'}
{'opt_vel': '3.062316294', 'objective_value': '280.656789', 'jump_d': '0.020892213', 'jump_c': '3.817750651', 'jump_b': '3.928264568', 'jump_a': '-0.563358148'}
{'opt_vel': '4.12370724', 'objective_value': '305.8514917', 'jump_d': '0.775579225', 'jump_c': '2.421494181', 'jump_b': '4.927709416', 'jump_a': '0.852747533'}
{'opt_vel': '2.707780693', 'objective_value': '323.2650582', 'jump_d': '2.951197028', 'jump_c': '2.665217201', 'jump_b': '4.964102249', 'jump_a': '-0.037978227'}
{'opt_vel': '4.072549067', 'objective_value': '335.2427689', 'jump_d': '0.894721397', 'jump_c': '3.721039435', 'jump_b': '4.952831612', 'jump_a': '0.429758736'}
{'opt_vel': '2.521964031', 'objective_value': '382.0654777', 'jump_d': '1.49042582', 'jump_c': '3.094772701', 'jump_b': '0.283712916', 'jump_a': '3.026913474'}
{'opt_vel': '3.95272432', 'objective_value': '501.2381604', 'jump_d': '0.144453643', 'jump_c': '4.076436833', 'jump_b': '-0.575339237', 'jump_a': '3.437210933'}
{'opt_vel': '2.038740013', 'objective_value': '527.7198422', 'jump_d': '0.820471456', 'jump_c': '3.118085077', 'jump_b': '4.691911223', 'jump_a': '0.245622074'}
