{'opt_vel': 2.3653816564448187, 'objective_value': 40.620770564, 'jump_d': 3.3432236408795415, 'jump_c': 3.233052811404619, 'jump_b': -4.644898313584141, 'jump_a': 0.20820416368821615}
{'opt_vel': 2.2051625865506628, 'objective_value': 81.2988747284, 'jump_d': 2.43940341082313, 'jump_c': 3.3174035855740343, 'jump_b': -3.235505437285937, 'jump_a': 0.6195843903207932}
{'opt_vel': 2.434279654305911, 'objective_value': 11.7253827322, 'jump_d': 2.486106348585756, 'jump_c': 3.031374653984386, 'jump_b': -3.790678230704766, 'jump_a': 0.2030486185691771}
{'opt_vel': 2.394602993963862, 'objective_value': 32.6772513934, 'jump_d': 2.865381369030826, 'jump_c': 3.186037078060295, 'jump_b': -4.149426591717715, 'jump_a': 0.6673014115162594}
{'opt_vel': 2.3623340902646635, 'objective_value': 43.2266096994, 'jump_d': 2.743493234431978, 'jump_c': 3.1694634694195187, 'jump_b': -4.436403028645431, 'jump_a': -0.39663351908321065}
{'opt_vel': 2.5605328266209058, 'objective_value': 38.3766433408, 'jump_d': 3.0098606466373563, 'jump_c': 3.2457772838332914, 'jump_b': -3.5837812703873686, 'jump_a': 0.6061046030814197}
{'opt_vel': 2.505992488157021, 'objective_value': 31.8646084131, 'jump_d': 2.5026312046885337, 'jump_c': 2.946125967138701, 'jump_b': -3.645087924432916, 'jump_a': 0.24745311497355793}
{'opt_vel': 2.5992630502816176, 'objective_value': 49.2309082217, 'jump_d': 2.7632922434226614, 'jump_c': 3.1739583628911685, 'jump_b': -4.306122418038276, 'jump_a': 0.18454081462601657}
{'opt_vel': 2.3607645928673704, 'objective_value': 45.2879164643, 'jump_d': 3.1986577443533344, 'jump_c': 3.2160177638510454, 'jump_b': -4.926279593369093, 'jump_a': 0.18181682485991502}
{'opt_vel': 2.1187225322122143, 'objective_value': 100.240581599, 'jump_d': 2.2779164746803855, 'jump_c': 2.8497585014864546, 'jump_b': -3.6246984274327874, 'jump_a': 0.2616901094843378}
{'opt_vel': 2.216978441373138, 'objective_value': 82.1452183397, 'jump_d': 3.0825814097929003, 'jump_c': 3.0391812046105375, 'jump_b': -3.9583367443141606, 'jump_a': 0.7190049233376028}
{'opt_vel': 2.561593398228326, 'objective_value': 33.7922614597, 'jump_d': 2.7012657134028144, 'jump_c': 3.377095638849939, 'jump_b': -4.060156805417188, 'jump_a': 0.13964017089303304}
{'opt_vel': 2.3188538640378358, 'objective_value': 49.0599783304, 'jump_d': 3.0161787900493384, 'jump_c': 3.3307213143595877, 'jump_b': -3.6670910240915533, 'jump_a': 0.16790406850686956}
{'opt_vel': 2.543181626464031, 'objective_value': 31.8568874923, 'jump_d': 3.222821170947459, 'jump_c': 3.1893819744207406, 'jump_b': -4.760620652202902, 'jump_a': -0.18236970551248}
{'opt_vel': 2.544361977962266, 'objective_value': 30.8135327648, 'jump_d': 2.95661755948435, 'jump_c': 3.297056572886195, 'jump_b': -4.183524639762661, 'jump_a': 0.26285058883849466}
{'opt_vel': 2.3962579700967073, 'objective_value': 12.7635055735, 'jump_d': 3.1819442360560775, 'jump_c': 2.7023225448942743, 'jump_b': -4.972384326366211, 'jump_a': -0.030518818466567232}
{'opt_vel': 2.434510045582213, 'objective_value': 13.609990478, 'jump_d': 3.2853668685699615, 'jump_c': 2.7392065248845645, 'jump_b': -4.943980404556366, 'jump_a': 0.09431899674221977}
{'opt_vel': 2.501355661286898, 'objective_value': 22.0271114262, 'jump_d': 2.411058902044743, 'jump_c': 3.3255741308209164, 'jump_b': -3.6049190163433433, 'jump_a': 0.40148393970605945}
{'opt_vel': 2.413043024251992, 'objective_value': 17.4716841563, 'jump_d': 2.7997696200569253, 'jump_c': 2.8051261347245084, 'jump_b': -4.148920130030027, 'jump_a': 0.30418399218040726}
{'opt_vel': 2.439690316985626, 'objective_value': 26.2556679234, 'jump_d': 2.8717081900793824, 'jump_c': 3.549747121325117, 'jump_b': -3.545259552939254, 'jump_a': 0.5161289019294371}
{'opt_vel': 2.595039234191993, 'objective_value': 45.6551454883, 'jump_d': 3.0321413472504317, 'jump_c': 3.2772677217117074, 'jump_b': -3.861164522867404, 'jump_a': 0.40240664162652795}
{'opt_vel': 2.2615213566188537, 'objective_value': 85.3206012068, 'jump_d': 2.5693490816135967, 'jump_c': 3.6601988355382282, 'jump_b': -4.331396066159844, 'jump_a': -0.01369898870572328}
